MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
FORD,F-350 SD P/U CREW CAB L/BOX DRW 4X4,99,653,243,205,437,3157,134,264,50,87,144,95,119,N/A,N/A,57/43
FORD,F-350 SD P/U CREW CAB S/BOX,99,613,203,198,397,2536,134,223,50,87,144,95,119,174,174,55/45
FORD,F-350 SD P/U CREW CAB S/BOX 4X4,99,613,203,206,397,2723,134,223,50,87,144,95,119,174,174,56/44
FORD,F-350 SD P/U CREW CAB S/BOX DRW,99,613,243,198,397,2709,134,223,50,87,144,95,119,N/A,N/A,54/46
FORD,F-350 SD P/U CREW CAB S/BOX DRW 4X4,99,613,243,206,397,2899,134,223,50,87,144,95,119,N/A,N/A,56/44
FORD,F-350 SD P/U REG CAB L/BOX,99,564,203,194,348,2488,134,264,50,87,144,95,119,174,174,56/44
FORD,F-350 SD P/U REG CAB L/BOX 4X4,99,564,203,202,348,2654,134,264,50,87,144,95,119,174,174,59/41
FORD,F-350 SD P/U REG CAB L/BOX DRW,99,564,243,196,348,2458,134,264,50,87,144,95,119,N/A,N/A,53/47
FORD,F-350 SD P/U REG CAB L/BOX DRW 4X4,99,564,243,203,348,2682,134,264,50,87,144,95,119,N/A,N/A,56/44
FORD,F-350 SD P/U SUPER CAB L/BOX,99,577,203,195,361,2545,134,264,50,87,144,95,120,174,174,56/44
FORD,F-350 SD P/U SUPER CAB L/BOX 4X4,99,577,203,205,361,2753,134,264,50,87,144,95,120,174,174,58/42
FORD,F-350 SD P/U SUPER CAB L/BOX DRW,99,618,243,194,401,2579,134,264,50,87,144,95,120,N/A,N/A,53/47
FORD,F-350 SD P/U SUPER CAB L/BOX DRW 4X4,99,618,243,206,401,2773,134,264,50,87,144,95,120,N/A,N/A,56/44
FORD,F-350 SD P/U SUPER CAB S/BOX,00,577,203,195,360,2378,134,223,50,87,144,95,120,174,174,55/45
FORD,F-350 SD P/U SUPER CAB S/BOX 4X4,99,577,203,202,360,2562,134,223,50,87,144,95,120,174,174,58/42
FORD,FOCUS 2DR COUPE FWD S/SE/SES,08,445,172,149,261,1173,106,49,38,82,99,89,93,147,146,61/39
FORD,FOCUS 4DR SEDAN FWD S/SE/SES,08,445,172,149,261,1189,106,49,38,82,100,90,95,148,145,61/39
FORD,FREESTAR S/SE/SPORT,04,512,195,175,308,1948,108,195,57,81,107,100,104,162,159,59/41
FORD,FUSION SE/SEL 4DR SEDAN 2.3L V4,06,483,182,145,273,1429,124,59,36,80,105,101,110,154,156,61/39
FORD,FUSION SEL V6 4DR SEDAN 3.0L V6,06,483,182,145,273,1429,124,59,36,80,105,101,110,154,156,61/39
FORD,GRAND MARQUIS 4DR SEDAN RWD LS ULTIMATE,98,538,199,144,291,1857,161,96,40,76,116,108,139,161,166,56/44
FORD,GT 2DR COUPE RWD,06,464,195,113,271,1581,140,93,27,63,121,109,90,160,161,43/57
FORD,MUSTANG 2DR CONVERTIBLE RWD,05,476,188,138,272,1520,150,71,36,83,134,94,112,158,158,53/47
FORD,MUSTANG 2DR COUPE RWD,05,477,188,138,272,1516,146,59,30,81,117,94,112,158,159,53/47
FORD,MUSTANG GT 2DR CONVERTIBLE RWD,05,476,188,138,272,1580,150,71,36,83,134,94,112,158,158,53/47
FORD,MUSTANG GT 2DR COUPE RWD,05,477,188,138,272,1582,146,59,30,81,117,94,112,158,159,53/47
FORD,RANGER REG CAB FLARESIDE S/BOX,99,476,176,162,284,1392,129,207,43,74,122,85,108,149,146,60/40
FORD,RANGER REG CAB FLARESIDE S/BOX 4X4,99,476,178,162,284,1392,129,204,43,74,122,85,108,149,146,60/40
FORD,RANGER REG CAB STYLESIDE L/BOX,03,507,176,165,298,1392,129,235,43,74,122,85,124,149,146,60/40
FORD,RANGER REG CAB STYLESIDE L/BOX 4X4,03,507,176,173,298,1592,129,235,43,74,122,85,124,149,146,60/40
FORD,RANGER REG CAB STYLESIDE S/BOX,99,476,176,162,284,1392,129,204,43,74,122,85,108,149,146,60/40
FORD,RANGER REG CAB STYLESIDE S/BOX 4X4,99,476,176,172,284,1546,129,204,43,74,122,85,108,149,146,60/40
FORD,RANGER SUPER CAB FLARESIDE S/BOX,99,515,176,165,319,1502,129,207,43,74,122,85,112,149,146,60/40
FORD,RANGER SUPER CAB FLARESIDE S/BOX 4X4,99,515,178,172,320,1625,129,207,43,74,122,85,111,149,146,60/40
FORD,RANGER SUPER CAB STYLESIDE S/BOX,99,515,176,165,319,1502,129,207,43,74,122,85,111,149,146,60/40
FORD,RANGER SUPER CAB STYLESIDE S/BOX4X4,99,512,178,172,320,1625,129,204,43,74,122,85,108,149,146,60/40
FORD,SHELBY GT500 4DR CONVERTIBLE RWD,08,477,188,142,272,1833,149,58,31,81,119,93,113,162,161,53/47
FORD,SHELBY GT500 4DR COUPE RWD,08,477,188,138,272,1778,149,58,31,81,119,93,113,162,161,53/47
FORD,TAURUS 4DR SEDAN FWD SEL/LIMITED,08,513,189,156,287,1653,129,65,40,84,122,105,123,165,164,61/39
FORD,TAURUS X 4DR CUV FWD SEL/LIMITED,08,509,190,171,287,1796,128,195,43,85,127,106,117,164,164,55/45
GMC,1500 SAVANA CARGO VAN SWB,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,1500 SAVANA CARGO VAN SWB AWD,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,1500 SAVANA PASSENGER VAN SWB,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,1500 SAVANA PASSENGER VAN SWB AWD,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,2500 SAVANA CARGO VAN LWB,03,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47
GMC,2500 SAVANA CARGO VAN SWB,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,2500 SAVANA PASSENGER VAN LWB,03,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47
GMC,2500 SAVANA PASSENGER VAN SWB,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,3500 SAVANA CARGO VAN LWB,03,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47
GMC,3500 SAVANA CARGO VAN SWB,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,3500 SAVANA PASSENGER VAN LWB,03,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47
